season,week,celebrity_name,judge_share,audience_share,combined_share,final_rank_alt_pct,pred_eliminated_alt_pct,judge_total_score
22,8,Jodie Sweetin,0.17751479289930325,0.07734630346468102,0.25486109636398424,5.0,0,30.0
22,8,Antonio Brown,0.15976331360937293,0.0,0.15976331360937293,6.0,1,27.0
22,9,Paige VanZant,0.20557491289184282,0.32839812603297425,0.5339730389248171,1.0,0,29.5
22,9,Nyle DiMarco,0.1986062717768651,0.28264045259490944,0.4812467243717745,2.0,0,28.5
22,9,Wanya Morris,0.2090592334493317,0.19979763883923318,0.4088568722885649,3.0,0,30.0
22,9,Antonio Brown,0.19163763066188738,0.0,0.19163763066188738,5.0,1,27.5
22,9,Ginger Zee,0.19512195121937623,0.1891637825328831,0.38428573375225933,5.0,1,28.0
22,10,Paige VanZant,0.34099697010062,0.5665725921685911,0.9075695622692111,1.0,0,29.666600000000003
22,10,Ginger Zee,0.3256704628523284,0.0,0.3256704628523284,3.0,1,28.333199999999998
22,10,Nyle DiMarco,0.33333256704590214,0.4334274078314088,0.766759974877311,3.0,1,28.9998
23,1,Jana Kramer,0.08181818181815703,0.1319595254567015,0.21377770727485854,1.0,0,27.0
23,1,Marilu Henner,0.08181818181815703,0.13111799872826999,0.21293618054642702,2.0,0,27.0
23,1,Babyface,0.07878787878785491,0.11599393258224303,0.19478181137009792,3.0,0,26.0
23,1,Calvin Johnson Jr.,0.07878787878785491,0.11599393258224303,0.19478181137009792,3.0,0,26.0
23,1,Vanilla Ice,0.0757575757575528,0.11207730528222808,0.18783488103978088,5.0,0,25.0
23,1,Terra Jole,0.0757575757575528,0.09514259635583222,0.17090017211338504,6.0,0,25.0
23,1,James Hinchcliffe,0.09393939393936547,0.058837391245644986,0.15277678518501045,7.0,0,31.0
23,1,Laurie Hernandez,0.09393939393936547,0.058837391245644986,0.15277678518501045,7.0,0,31.0
23,1,Amber Rose,0.07272727272725069,0.05864406728114417,0.13137134000839484,9.0,0,24.0
23,1,Ryan Lochte,0.07272727272725069,0.05864406728114417,0.13137134000839484,9.0,0,24.0
23,1,Jake T. Austin,0.06666666666664647,0.03137589597945192,0.0980425626460984,11.0,0,22.0
23,1,Maureen McCormick,0.06666666666664647,0.03137589597945192,0.0980425626460984,11.0,0,22.0
23,1,Rick Perry,0.06060606060604224,0.0,0.06060606060604224,13.0,0,20.0
23,2,Marilu Henner,0.07670454545452367,0.12788750939438348,0.20459205484890713,1.0,0,27.0
23,2,James Hinchcliffe,0.08238636363634023,0.11927757777893658,0.20166394141527683,2.0,0,29.0
23,2,Babyface,0.08522727272724852,0.10840952643461631,0.19363679916186483,3.0,0,30.0
23,2,Jana Kramer,0.08238636363634023,0.10512346110382646,0.1875098247401667,4.0,0,29.0
23,2,Terra Jole,0.0880681818181568,0.09754147509029602,0.18560965690845282,5.0,0,31.0
23,2,Laurie Hernandez,0.09090909090906509,0.08667342374597575,0.17758251465504082,6.0,0,32.0
23,2,Vanilla Ice,0.07386363636361538,0.08894432487994831,0.1628079612435637,7.0,0,26.0
23,2,Calvin Johnson Jr.,0.07954545454543195,0.07847119748047715,0.1580166520259091,8.0,0,28.0
23,2,Maureen McCormick,0.07386363636361538,0.07744278210572447,0.15130641846933984,9.0,0,26.0
23,2,Amber Rose,0.06818181818179882,0.05047744283558939,0.1186592610173882,10.0,0,24.0
23,2,Ryan Lochte,0.06818181818179882,0.05047744283558939,0.1186592610173882,10.0,0,24.0
23,2,Jake T. Austin,0.06818181818179882,0.009273836314636677,0.07745565449643549,12.0,0,24.0
